endTime,artistName,trackName,msPlayed
2021-12-18 17:55,Metalocalypse: Dethklok,Murmaider,204360
2021-12-18 17:58,Destripando la Historia,Odín,182800
2021-12-18 17:59,Mägo de Oz,El Cervezo - El árbol de la birra,33170
2021-12-18 20:51,Mägo de Oz,El Cervezo - El árbol de la birra,246990
2021-12-18 21:28,Dschinghis Khan,Moskau,117809
2021-12-21 18:31,Vete a la Versh,Horrible,23
2021-12-21 18:31,Destripando la Historia,Odín,23
2021-12-21 18:31,Vete a la Versh,Tiempo,0
2021-12-21 18:31,Mägo de Oz,El Cervezo - El árbol de la birra,560
2021-12-21 18:31,Eminem,Without Me,0
2021-12-21 18:31,Metalocalypse: Dethklok,Murmaider,0
2021-12-21 18:31,Vete a la Versh,Perra,206
2021-12-21 18:35,Turisas,Rasputin,233661
2021-12-21 18:40,Eminem,Without Me,290320
2021-12-21 18:43,Vete a la Versh,Horrible,221423
2021-12-21 18:46,Vete a la Versh,Perra,184015
2021-12-21 19:03,Vete a la Versh,Tiempo,249766
2021-12-21 19:03,Metalocalypse: Dethklok,Murmaider,487
2021-12-21 19:24,Vete a la Versh,Tiempo,288684
2021-12-21 19:28,Metalocalypse: Dethklok,Murmaider,204360
2021-12-21 19:29,Destripando la Historia,Odín,90846
2021-12-21 21:07,Destripando la Historia,Odín,183529
2021-12-21 21:12,Mägo de Oz,El Cervezo - El árbol de la birra,280160
2021-12-21 21:16,Dschinghis Khan,Moskau,271960
2021-12-21 21:22,Rod Stewart,Da Ya Think I'm Sexy?,331333
2021-12-21 21:24,Rocco DeLuca,Crash of Worlds,106120
2021-12-21 21:26,Gustavo Santaolalla,Beyond Desolation,144626
2021-12-21 21:55,David Ferguson,The Housebuilding Song,152421
2021-12-22 09:12,David Ferguson,The Housebuilding Song,10118
2021-12-24 04:44,Gustavo Santaolalla,Beyond Desolation,232
2021-12-24 04:44,Dschinghis Khan,Moskau,292
2021-12-24 04:44,Rocco DeLuca,Crash of Worlds,23
2021-12-24 04:44,David Ferguson,The Housebuilding Song,4660
2021-12-24 04:44,Rod Stewart,Da Ya Think I'm Sexy?,23
2021-12-24 04:44,Vete a la Versh,Horrible,145
